operation,file_size_mb,client_pool_size,server_pool_size,executor_type,avg_duration,median_duration,min_duration,max_duration,avg_throughput,median_throughput,min_throughput,max_throughput,success_count,fail_count
list,10,50,50,process,1.7397657684657886,0.3548457622528076,0.1297612190246582,7.348642826080322,0,0,0,0,0,0
list,50,1,50,process,0.09396767616271973,0.09396767616271973,0.09396767616271973,0.09396767616271973,0,0,0,0,0,0
list,50,5,50,process,0.13990342617034912,0.13986408710479736,0.1230459213256836,0.15683960914611816,0,0,0,0,0,0
list,50,50,50,process,0.49023305892944335,0.12288856506347656,0.061701059341430664,1.456465721130371,0,0,0,0,0,0
list,100,1,50,process,0.0030193328857421875,0.0030193328857421875,0.0030193328857421875,0.0030193328857421875,0,0,0,0,0,0
list,100,5,50,process,0.0041007399559021,0.003892183303833008,0.003316164016723633,0.00530242919921875,0,0,0,0,0,0
list,100,50,50,process,0.7961584879801824,0.01398015022277832,0.004817962646484375,3.3565945625305176,0,0,0,0,0,0


upload,10,50,50,process,1.420698881149292,1.5447973012924194,0.5027055740356445,1.800760269165039,8122344.734686369,6787911.612136807,5822962.767199405,20858650.752212472,0,0
upload,50,50,50,process,12.932582898139954,12.889691472053528,6.9436962604522705,16.587194442749023,4256096.099251712,4067706.137774379,3160799.7471156963,7550560.686043762,0,0
upload,10,1,50,process,0.13408851623535156,0.13408851623535156,0.13408851623535156,0.13408851623535156,78200283.62157011,78200283.62157011,78200283.62157011,78200283.62157011,0,0
upload,10,5,50,process,0.17842574119567872,0.17549872398376465,0.16266560554504395,0.2012639045715332,59050054.88512709,59748354.6431371,52099555.6670876,64462059.84888658,0,0
upload,50,1,50,process,0.7638506889343262,0.7638506889343262,0.7638506889343262,0.7638506889343262,68637497.82453582,68637497.82453582,68637497.82453582,68637497.82453582,0,0
upload,50,5,50,process,1.3197175502777099,1.329158067703247,1.2481348514556885,1.359403371810913,39762079.81781556,39445120.391584195,38567507.69284734,42005717.5223116,0,0
upload,100,1,50,process,2.5630929470062256,2.5630929470062256,2.5630929470062256,2.5630929470062256,40910572.565258324,40910572.565258324,40910572.565258324,40910572.565258324,0,0
upload,100,5,50,process,3.51290545463562,3.6197328567504883,3.2326486110687256,3.74006724357605,29978480.87254088,28968325.605700336,28036287.363577142,32437054.754718203,0,0
upload,100,50,50,process,294.2647148656845,339.29902029037476,80.65492844581604,419.59677624702454,487132.658322822,309044.77616383287,249900.87135051854,1300076.784153907,0,0


download,10,1,50,process,0.4376332759857178,0.4376332759857178,0.4376332759857178,0.4376332759857178,23960152.427582324,23960152.427582324,23960152.427582324,23960152.427582324,0,0
download,10,5,50,process,0.38884449005126953,0.38785362243652344,0.346843957901001,0.4245719909667969,27090873.969582867,27035354.044465862,24697248.577615254,30231923.495097846,0,0
download,10,50,50,process,1.0622473728089106,0.9630192518234253,0.4157416820526123,1.7742919921875,10999057.58683537,10888423.621069407,5909827.720674234,25221815.499060355,0,0
download,50,1,50,process,1.0065207481384277,1.0065207481384277,1.0065207481384277,1.0065207481384277,52089139.838366665,52089139.838366665,52089139.838366665,52089139.838366665,0,0
download,50,5,50,process,1.2966407537460327,1.2932910919189453,1.268385887145996,1.3315949440002441,40449956.58553092,40545918.77301164,39372934.11651042,41335054.67958999,0,0
download,50,50,50,process,57.430182288993485,70.72855877876282,32.57449412345886,72.68064904212952,1011121.3129364259,741270.3161794986,721358.4453491812,1609504.6572724164,0,0
download,100,1,50,process,2.5811359882354736,2.5811359882354736,2.5811359882354736,2.5811359882354736,40624593.387535214,40624593.387535214,40624593.387535214,40624593.387535214,0,0
download,100,5,50,process,3.6764979362487793,3.649517297744751,3.6252012252807617,3.7594592571258545,28525870.27359195,28731909.30340229,27891670.803785946,28924628.86439609,0,0
download,100,50,50,process,210.53945066034794,202.95663452148438,74.06715607643127,283.52201890945435,545033.8382069215,516972.63512479595,369839.35287751793,1415709.81734192,0,0




download,10,1,1,process,0.12738418579101562,0.12738418579101562,0.12738418579101562,0.12738418579101562,82316026.39595124,82316026.39595124,82316026.39595124,82316026.39595124,0,0
download,10,5,1,process,0.4915980339050293,0.38989949226379395,0.12853789329528809,1.1652295589447021,35472751.957087874,26893494.882793177,8998879.1646313,81577188.88321304,0,0
download,10,50,1,process,2.173544200691017,2.1634767055511475,0.1403367519378662,4.2217795848846436,9582315.075211475,4846717.310657959,2483729.855898319,74718559.85837941,0,0
download,50,1,1,process,0.9309303760528564,0.9309303760528564,0.9309303760528564,0.9309303760528564,56318712.278245814,56318712.278245814,56318712.278245814,56318712.278245814,0,0
download,50,5,1,process,2.527422618865967,2.503680944442749,0.9474174976348877,4.1282923221588135,27004099.872915775,20940687.397239115,12699875.858738447,55338644.400047615,0,0
download,50,50,1,process,23.266307947586995,21.05109429359436,0.9567892551422119,49.63101863861084,5534778.642470009,2490549.862576672,1056371.628834807,54796601.98755814,0,0
download,100,1,1,process,3.3145055770874023,3.3145055770874023,3.3145055770874023,3.3145055770874023,31635970.301230524,31635970.301230524,31635970.301230524,31635970.301230524,0,0
download,100,5,1,process,6.039349675178528,6.030338883399963,2.72397780418396,9.372743129730225,21437332.442278862,18033766.400057487,11187503.866119301,38494293.10288117,0,0
download,100,50,1,process,72.81696317550984,74.24703598022461,2.5193066596984863,144.35709023475647,3889420.137882622,1412279.9464739359,726376.5141669066,41621610.293583505,0,0

upload,10,1,1,process,0.47729039192199707,0.47729039192199707,0.47729039192199707,0.47729039192199707,21969350.68769135,21969350.68769135,21969350.68769135,21969350.68769135,0,0
upload,10,5,1,process,0.5982494831085206,0.2839009761810303,0.1355421543121338,1.2209131717681885,36419357.66507519,36934568.31692514,8588456.77355908,77361615.30864285,0,0
upload,10,50,1,process,2.351801242828369,2.3851953744888306,0.3732128143310547,4.147855520248413,6319827.1633362165,4401806.235915827,2527995.4783410616,28095927.03507418,0,0
upload,50,1,1,process,0.8729069232940674,0.8729069232940674,0.8729069232940674,0.8729069232940674,60062302.86517917,60062302.86517917,60062302.86517917,60062302.86517917,0,0
upload,50,5,1,process,2.2504136085510256,2.250898599624634,0.919348955154419,3.5729236602783203,29099079.364103455,23292386.431242693,14673921.131557552,57028182.50464403,0,0
upload,50,50,1,process,87.17144187927246,95.87699329853058,5.929656982421875,133.48346877098083,859018.87479428,546866.4843774006,392773.73058047146,8841793.067528551,0,0
upload,100,1,1,process,3.8525702953338623,3.8525702953338623,3.8525702953338623,3.8525702953338623,27217569.560508974,27217569.560508974,27217569.560508974,27217569.560508974,0,0
upload,100,5,1,process,9.18021264076233,9.599037647247314,2.861754894256592,15.063633441925049,15988351.632967247,10923761.720016764,6960976.606624051,36641013.59988736,0,0
upload,100,50,1,process,656.6435903596878,670.3604021072388,310.5025701522827,825.4114074707031,166234.72654611283,156423.99083537777,127036.77105858484,337702.8407480611,0,0



